State,Lending_Club_Loans,Avg_Monthly_Income,Avg_Years_of_Experience,Avg_FICO_Score,Avg_Open_Credit_Lines
AK,11,4975.6,6.23,696.4,9.8
AL,38,5029.5,6.80,708.8,9.4
AR,13,5823.1,6.19,692.7,9.4
AZ,46,5446.4,5.28,708.5,9.1
CA,433,5761.8,5.89,704.5,9.7
CO,61,5155.4,5.57,706.5,10.1
CT,50,5260.2,6.34,701.3,10.2
DC,11,7752.1,4.27,703.6,10.1
DE,8,5770.8,5.75,719.4,9.1
FL,169,5450.2,6.14,704.8,10
GA,98,6242.6,6.28,712.9,10
HI,12,5113.9,6.17,685.8,11
IA,1,3750,10.00,655,8
IL,101,5715.9,6.51,709.7,10.1
IN,3,3750,1.67,691.7,13.7
KS,21,4801.9,6.26,703.8,9.5
KY,23,4366.1,7.11,715,8.5
LA,22,5481.6,6.95,700,10
MA,73,5877.1,6.11,711.1,10
MD,68,7111.8,5.98,709.1,10
MI,45,4782.7,6.04,690.3,10.4
MN,38,5151,7.13,703,10.2
MO,33,4735.8,6.65,711.1,10.4
MS,1,5833.3,2.00,680,25
MT,7,4145.5,7.29,722.9,8.6
NC,64,5317.5,6.61,705.8,9.4
NH,15,7734.7,7.43,724.7,9.5
NJ,94,6106.5,6.46,702.8,9.8
NM,13,5229.1,8.69,706.9,9.4
NV,32,5110.3,6.14,700.2,10.5
NY,253,6507.6,6.29,706.9,10.3
OH,71,5162.1,6.87,713.5,10.6
OK,21,5914.4,5.67,700.2,9.6
OR,30,4727.9,7.28,711.2,9.3
PA,96,5108.8,5.90,706.8,10.3
RI,15,6182.1,7.07,708.3,12.4
SC,28,5526,5.66,701.8,9.4
SD,4,4583.3,7.50,728.8,12
TX,174,5500.6,5.85,706.5,10.6
UT,16,5306.4,6.19,691.6,9.8
VA,78,6728.1,5.94,705.6,11.3
VT,5,5932.1,6.80,686,9.8
WA,58,5220.6,7.34,706.9,9.7
WI,26,5020.2,6.40,698.3,10.5
WV,15,4321.2,6.80,698.3,11.7
WY,4,4875.8,6.75,677.5,12.8
,2498,,,,
